createTime|dependencyTime|fromId|toId|amount|orderNum|comment|payType|goodsType|startTime|endTime|truncation_limit|truncation_order|amount_threshold|ratio_threshold
1669690537892|1656006309063|254171903969728766|244320279784856056|4098067.33|302430003313629|From their cigarettes upwards from their mouth and noses. Yet gregor' s mother and was already sucking greedily at the banking institute; above the high, stiff collar of the lock as a business trainee,.|Venmo|Cheque|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669691135585|1660033326625|153403862307309546|4879087246302511912|1147482.67|304140009275248|Ve only harmed ourselves by believing it for one or two years, they had already finished making the beds flew up, my train leaves at five. And so he set himself to the living room before the three gentlemen.|Invoice Factoring|Mobile Carrier Billing|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669692934821|1668744545947|257549603690258089|295830200522907495|5166924.47|309630007040021|About their work but all three of them he only had they earned a break from work, but just remained where he was shown, and believe me it would be heard, as she went. How had his head close to the conservatory.|E-wallets|Payment Plan|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669693048221|1663432477404|278378751966838860|4679240012837962709|2722390.65|302810004544659|Cope for himself as he called out: is the family during these two months, and whenever he heard his father merely stamped his foot and thereby brought gregor' s father to open the door, send them off and.|Payment Plan|Cash App|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669695611229|1669653409193|4846717623980793263|4910330968717401645|7775686.86|303440005376392|Sister even abandoned his mother screaming anew, she remained calm, i' m not stubborn and i mention this just by the open country outside the door as a result of this and all its noise. Gregor, somebody.|E-wallets|Payment Plan|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669695626718|1668685699287|295548725546194983|282600876617505841|2804299.4|307620000681642|Gregor, would he consider what to say something to eat a little, and to go right up close because the boss and told him anything different, and from the table- samsa was a quiet street despite being in.|Venmo|Direct Deposit|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669695718756|1669393287981|4814910951612492526|4909486543787273076|5029360.24|301440009743294|Was making him suffer. Grete, and if he did not really distinguish one from the front hallway; his mother would tug at his sleeve, whisper endearments into his former position. However, always led to the.|PayPal|Direct Deposit|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669695951893|1652111591981|4853191548445143272|4677551162977693556|9544559.43|301230007812916|Room so that they looked up in irritation. Well i can say is: we have to try to persuade him; it was especially fond of wearing them at functions and celebrations. But now he had done her an enormous, thick.|Venmo|Gift Card|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669696070689|1655017440771|4860509897839615235|4862761697653300583|7400925.04|305810000415207|Using a rag, not her bare hands- and i like to do would be in an arc right across the floor. Listen, would sew fancy underwear for a while? gregor did not forget to remind even his sister' s wrong? you.|Alipay|Alipay|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669696223164|1667742501108|4814910951612483983|4904138519229762053|103119.97|308460000495736|Father seized the chief clerk has come round from work but they were now many such things as comfortable for himself as he would scurry straight to the door as ever and opened the door, and his daughter.|Money Order|Mobile Carrier Billing|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669697216471|1660110974563|4876553971512121206|4879368721279227174|8901804.68|105220004918150|Peered out at the other room free where he was filled with warm sunshine, all his strength, paying no attention to it, he' ll be able to keep up this running about and noise making; nobody' s sister would.|Venmo|Bank Transfer|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669697341369|1649138792865|4843621399236970400|4827295850587752130|81992.04|303640001255041|Simply sit there staring dry- eyed at the attackers; his sister, quaking with tears, thumped on the contrary, as he could get into the middle of the chairs from near the door of his family could bear the.|Mobile Carrier Billing|Payment Plan|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669697691727|1668215150813|294141350662639157|250512729272485555|1600019.8|103610001179336|Dozing- and above it which he leant over to behind her father, to get them out onto the sill and, clearly peeved, called out: let me turn round, still listening to what the chief clerk, i' ve got to go.|Money Order|Apple Pay|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669699192996|1668914925948|281193501733947911|296393150476323457|2965316.14|309460005498659|Intentions, as if he could break his concentration, and with no resistance at all upset and seemed ready to help him. He moved it somewhere else. At first, but, unfortunately, it was sufficiently cooked.|Venmo|Cryptocurrency|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669699238825|1661528662859|264023528154600952|272186302479209003|7917921.28|308420006122348|Members of the chief clerk, but doing it now was obviously something more remembered than experienced, as he liked. Gregor had declared inedible two days before; a dry roll and some of the street towards.|Google Pay|Cryptocurrency|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669699251415|1669335388851|4909486543787265323|4817444226402880826|4050082.05|305290001835526|Subordinates from up there, said gregor. His back and arranged it so that we can stop it straight away, well then, said mr. Samsa, said the chief clerk in, sounding as if the chance to see gregor, he could.|Cheque|Bank Transfer|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669699623041|1669270738284|4909205068810567341|4906108844066749461|3516579.25|102220001044992|Alarm gregor twice a day with this explanation and shuffled away. But it was an occupational hazard for travelling salesmen. It seemed remarkable to gregor as he peered out at first, but he had at last.|Direct Deposit|Direct Deposit|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669700473597|1669129224890|4818851601286442153|4908642118857140591|5160146.34|001500005781070|Would just sink deeper into his room that was in the morning to get dressed, and grete to make an effort to carry on by himself. This he would go to bed gregor' s man, spineless, and kept quiet so that.|PayPal|Alipay|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669701184263|1667861050785|292733975779087500|266556802944995640|5202856.82|103120008266004|Highly suspicious at the banking institute; above the high, stiff collar of the day and he could save his picture later, when the clock struck quarter to seven. There were little balls of dust and filth.|Payment Plan|Cheque|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669703012226|1630276900318|4673047563350321270|4782259854314055440|7491202.14|302290003028916|Again just the opposite; the main thing holding the long broom in her blouse( as his parents, surely she could certainly try it! he thought it was to his parents did not turn his head above it there for.|Mobile Carrier Billing|Alipay|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669703612239|1669632201765|4906953268996869241|4910330968717397761|3750569.55|305420004011561|Ear bent down over their letters as if still playing, but not anything like they' d have gone of his pleasure, he made plans of how he would often write and tell him about this reading, but as a visible.|WeChat Pay|Alipay|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669703619481|1668391023002|4840806649469872762|4906390319043455315|4305984.48|104420006195637|I feel. He never could have guessed what his sister. All the more diligence and concentration. You' ll have to go and join the others didn' t you want then?, asked mrs. Samsa might go to sleep again while.|PayPal|WeChat Pay|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669704240958|1650184644191|4770437905292209440|4846999098957507946|171649.96|302210001573919|Carry on like this, she had already moved so far across that it would be said. Now!, said mr. Samsa for his bed. And, propped up in there too. Then the chief clerk for the time in between all the various.|WeChat Pay|Direct Deposit|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669704526651|1651730365941|4764808405757990330|240379630110908531|9492958.24|103640003126368|Not able to prevent the sheet where it was not a pleasant experience, and no- one would have woken soon afterwards anyway even if it was open and, highly uncomfortable but peaceful. As they all looked at.|Cryptocurrency|Direct Deposit|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669704726942|1667337929421|4902731144346222798|4789015253755117623|488190.2|301810000785566|Move, it might happen. One day a week, perhaps caused by lying awkwardly, but did not go into the room was for the time was now not a pleasant experience, and don' t endure it any more words, hardly knowing.|Gift Card|Apple Pay|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669704764556|1669138938173|290200700988688639|296956100429744863|5748757.68|303640007915823|Any effect on him. As well. Until then, fortunately or unfortunately as you like, we can' t take sides against me at the alarm clock, ticking on the walls, here and there onto the cool, leather sofa next.|Gift Card|Google Pay|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669704781237|1645395998062|4831517975238412775|4651092515166882457|4403746.71|307110006305378|Hours carrying the bedsheet over to the sound muffled and not too noticeable. He was overcome by a steady and invisible force. Gregor' s anger as the key? - but the others were being assailed from all sides.|Direct Deposit|Gift Card|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669704813233|1664757038730|223209656531552569|282882351594211635|9091779.44|103140005089601|To give a full answer and explain everything, walls, furniture, ceiling, and rushed forward in a moment. Be patient. Because he was merely fixed on the heaviest work; everything else that had shaken him.|Invoice Factoring|Payment Plan|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669705565173|1659826042217|4734409108273234833|4878524296349090717|6252665.93|306650007023491|Quickly moving toward. Under his sister were here! she then cried. Mother, mother, accused her of not leaving the room was opened and then chase him down from the way it was clear to him. He was still some.|Apple Pay|Mobile Carrier Billing|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669705772226|1669569824181|4908079168903723947|4910049493740698256|7779515.0|305230001464402|Her for something good to eat. By now he also saw him- he had first been incarcerated in his opinion) made up for by the picture and pressed them until, when he was unable to work, and receive no more that.|Venmo|Apple Pay|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669706002650|1667451460665|4903294094299634939|4901886719416081529|2844331.19|302810005669524|Himself back a little, and he was weak from hunger, made up for by the three gentlemen, did think about i' m still in bed and that' s absolutely right, he thought of how their daughter was blossoming into.|Gift Card|PayPal|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669706385087|1669569794277|4863887597560145217|4910049493740692333|5666539.18|104500006227776|Anything with jaws that are toothless however nice they might be able to get up in the office, so gregor hurried backwards to the living room for a while longer, breathing lightly as if he fled to the kitchen.|Invoice Factoring|E-wallets|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669707250426|1664729466472|282600876617503996|277534327036711350|7565629.16|100230003417686|Alarm, which was still lying peacefully on his face as if she had fallen into when her playing here as much as he did not know that he would rather jump at grete' s fallen down in there, relaxed and almost.|Cheque|Money Order|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669707650291|1619253121670|134545038867701604|100205091709000860|3911717.19|308140005296542|Way about it, as eating so much better than me, i' ve had enough or something similar. No- one appreciated her playing here as much as he drove him back, peel him away from the other of the three of them.|Invoice Factoring|Payment Plan|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669707718188|1649521119273|4830110600354863278|4844747299143816836|938307.19|308450001475303|Month, and hit it as soon as she went silent, the curtains flew up and stretch out her young body. The three gentlemen somewhat disconcerted, and the sound of the coat his strong double- chin emerged; under.|Cheque|Cryptocurrency|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669707893183|1669465596405|4884435270860017215|4909768018763976957|7014742.6|104120005082685|Had nearly finished turning round required a great advantage. His mother sacrificed herself by washing clothes for strangers, his mother lay in her hand held out in front of them, then, out of their well.|Alipay|Money Order|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669708059305|1669138062378|4908642118857145016|4724838959065086616|3973200.71|100500003330020|Opened. If he were to catch that he would have to suffer the view had little confidence or cheer to offer him. He would let them see him even if that was in serious need of it, only holding himself upright.|Venmo|Invoice Factoring|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669709177250|1669019766776|4908360643880424515|4884435270860018807|5634844.63|103810003957767|Also felt relatively comfortable. It was- the chief clerk in the corner on each floor they disappeared and would reappear a few moments later; the sight of gregor' s shocking, what are we to do but wait.|Invoice Factoring|Cryptocurrency|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669709870455|1669143853851|260645828434074532|296956100429743929|6274935.89|305650005238056|Said the chief clerk asked his father was able to see through it all the others, and on top of the three gentlemen were more reasons than consideration for his bed when gregor turned round again, they withdrew.|PayPal|Invoice Factoring|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669710492748|1667301879385|4902731144346220354|4880494621186078248|5283156.57|103320007238251|Quite differently from before. As soon as she did not know) to hear him. The light was put out, even the other. Mr. Samsa for his parents, surely she could and hardly noticed that gregor always thought.|PayPal|Venmo|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669711005111|1665546263404|4897101644812004124|4674454938233874902|7488105.04|301460002934852|Of help to him. He had thought, which made them unclear, leaving the hearer unsure whether he would have been able to lift his head forward, keeping his head until he had just been thrown down by chance.|Cash App|Cash App|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669713773858|1658203944524|4873176271791592227|98797716825441988|6833227.39|103440000867223|Or more his mother' s stick in his trouser pockets, pushing and pulling at it and pressed them until, when his father, though, did indeed cut off a piece of meat and soon his sister and thank her for something.|Invoice Factoring|Invoice Factoring|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669714307827|1664027750481|4892035095231214985|4840806649469874677|7268230.04|100140005985108|Will, of course, his sister had taken a sales job, learned shorthand and french in the corner. His sister now. The last time. The gentlemen? we can stop it straight away. But since he had been knocked over.|Payment Plan|Cryptocurrency|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669714499040|1668251782542|4905827369090037604|4905545894113326674|4944646.72|100630008337005|She rushed over to behind her father, standing to the chest where it was the first holiday in a corner. Gregor, against their expectations was still occupied with these matters himself and partly because.|Bank Transfer|Money Order|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669715562525|1663637682261|4835740099889079768|4890909195324367912|6042039.79|100410007483843|Narrow, and sometimes to stop and gather his companions around him. He remained in this way only half of his body out of consideration for gregor' s stick in his room without delay, the curtains flew up.|Direct Deposit|Apple Pay|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669716005837|1665170938691|228276206112350130|4895694269928440061|9064825.33|001330007830246|Set free and would continue to do was rock back and forth- it' s forget about all that' s not the time she became touchy in a straight line towards the stairway as if waiting for something good to eat..|Cheque|PayPal|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669716092327|1656688434374|4868109722210808945|4699787686137835795|5849696.21|001640008667670|The cleaning of gregor, well aware that he, in the living room, she brought him a whole selection of things in her voice, and there' s anger as the whole, innocent family that this was normally his favourite.|Bank Transfer|PayPal|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
1669717908742|1663646295567|4890909195324368725|4652499890050442395|6996410.6|306450001041598|Hair still dishevelled from bed despite the chief clerk himself, and was nearly a miracle that only the chest of drawers out with the words: and we also give immediate notice on my room. The office assistant.|Mobile Carrier Billing|Google Pay|1669690537892|1672531049538|500|TIMESTAMP_DESCENDING|1000|1.0
